year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,Oakville,395042.37,13106,181347.72,4867,10707.02,474,12076.8,803,190910.83,6962,47876.82,12.1,30.14,193464.99,5782,33.46,49,4443,237,0,0,0,0,0,0,Q1,2023 Q1
2023,1,O'Fallon IL,239054.32,7850,116829.39,3188,3319.02,156,15672.3,822,103233.61,3684,37217.87,15.6,30.45,140638.65,4173,33.7,58.8,2006,1023,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Overland - Page Ave,233381.12,8109,108549.9,2886,0,0,20943.71,1137,103887.51,4086,29275.76,12.5,28.78,116146.71,3538,32.83,49.8,1988,769,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Overland Park,259732.13,8734,60054.43,1579,43998.69,1729,20040.79,1110,135638.22,4316,20321.59,7.8,29.74,133109.36,3826,34.79,51.2,1078,314,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Pacific,190044.87,6702,84242.78,2397,22485.52,1078,9545.93,557,73770.64,2670,18954.65,10,28.36,98621.03,3050,32.33,51.9,1727,549,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Perryville,104118.5,4940,20707.61,635,14607.31,822,21563.48,1820,47240.1,1663,15431.68,14.8,21.08,34036.01,1074,31.69,32.7,512,108,2281.38,92,2281.38,92,0,0,Q1,2023 Q1
2023,1,Poplar Bluff,90146.56,4323,1989.75,66,6611.76,334,23030.55,1553,58514.5,2370,10910.72,12.1,20.85,23994.25,856,28.03,26.6,44,22,4620.97,186,4620.97,186,0,0,Q1,2023 Q1
2023,1,Riverview,358952.98,13164,148091.49,4315,0,0,50793.23,2680,160068.26,6169,43647.38,12.2,27.27,101917.36,3289,30.99,28.4,1705,2542,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Rolla,355461.73,12341,103750.23,3262,129223.51,4725,14936.43,772,107551.56,3582,36520.27,10.3,28.8,112428.84,3509,32.04,31.6,2817,253,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Scott City,57944.14,3195,0,0,4242.67,265,24876.11,1793,28825.36,1137,7077,12.2,18.14,13766.35,456,30.19,23.8,0,0,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Sikeston,64719.09,3155,8541.7,272,2730.04,171,12663.39,1037,40783.96,1675,8961.44,13.8,20.51,22099.54,809,27.32,34.1,131,130,4550.87,180,4550.87,180,0,0,Q1,2023 Q1
